,序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音,warning,definition
38,39,和,基礎,第1級,核心詞,5437,2135,"[['和', ['19016', '19190', '19725', '19883', '20369', '20436']]]",ㄏㄢˋ / ㄏㄜˊ,hàn/hé,True,
125,126,臺灣人/台灣人,基礎,第1級,1.個人資料,5,11,[],ㄊㄞˊ ㄨㄢ  ㄖㄣˊ  ,táiwānrén,False,
1420,1421,沒(有)用,進階,第4級,核心詞,0,0,[],ㄇㄟˊ (ㄧㄡˇ) ㄩㄥˋ,méi(yǒu)yòng,False,
1525,1526,一邊(兒),進階,第4級,核心詞,137,65,[],ㄧˋ ㄅㄧㄢ(ㄦ),yìbiān(r),False,
1624,1625,巷口,進階,第4級,2.日常起居,3,1,[],ㄒㄧㄤˋ ㄎㄡˇ,xiàngkǒu,False,
1826,1827,中文系,進階,第4級,8.教育、學習,3,3,[],ㄓㄨㄥ ㄨㄣˊ ㄒㄧˋ,zhōngwénxì,False,
2246,2247,拉鍊,進階,第4*級,9.購物、商店,2,0,"[['拉鍊', ['13167']]]",ㄌㄚ ㄌㄧㄢˋ,lāliàn,False,
2512,2513,吸菸,進階,第4*級,2.日常起居,6,2,"[['吸菸', ['26248']]]",ㄒㄧ ㄧㄢ,xīyān,False,
3709,3710,看診,進階,第5級,7.身體、醫療,6,10,"[['看診', ['45269']]]",ㄎㄢˋ ㄓㄣˇ,kànzhěn,False,
3781,3782,冷冰冰,進階,第5級,16.情緒、態度,4,3,"[['冷冰冰', ['13864']]]",ㄌㄥˇ ㄅㄧㄥ ㄅㄧㄥ,lěngbīngbīng,False,
4044,4045,評量,進階,第5級,8.教育、學習,20,4,"[['評量', ['3378']]]",ㄆㄧㄥˊ ㄌㄧㄤˊ,píngliáng,False,
4062,4063,奇蹟,進階,第5級,核心詞,31,24,"[['奇蹟', ['24507']]]",ㄑㄧˊ ㄐㄧ,qíjī,False,
4073,4074,企業界,進階,第5級,3.職業,13,6,[],ㄑㄧˋ ㄧㄝˋ ㄐㄧㄝˋ,qìyèjiè,False,
4236,4237,傻事,進階,第5級,核心詞,3,1,"[['傻事', ['33876']]]",ㄕㄚˇ ㄕˋ,shǎshì,False,
4252,4253,上鎖,進階,第5級,2.日常起居,4,1,[],ㄕㄤˋ ㄙㄨㄛˇ,shàngsuǒ,False,
4276,4277,身旁,進階,第5級,核心詞,33,5,[],ㄕㄣ ㄆㄤˊ,shēnpáng,False,
4339,4340,石子,進階,第5級,13.自然環境,7,1,[],ㄕˊ ˙ㄗ,shízi,False,
4417,4418,痠痛,進階,第5級,7.身體、醫療,8,5,"[['痠痛', ['39229']]]",ㄙㄨㄢ ㄊㄨㄥˋ,suāntòng,False,
4418,4419,算帳,進階,第5級,核心詞,3,1,"[['算帳', ['39248']]]",ㄙㄨㄢˋ ㄓㄤˋ,suànzhàng,False,
4648,4649,舞台劇,進階,第5級,4.休閒、娛樂,5,5,[],ㄨˇㄊㄞˊㄐㄩˋ,wǔtáijù,False,
4694,4695,閒逛,進階,第5級,4.休閒、娛樂,5,1,"[['閒逛', ['27367']]]",ㄒㄧㄢˊ ㄍㄨㄤˋ,xiánguàng,False,
4700,4701,限量,進階,第5級,9.購物、商店,2,3,"[['限量', ['27504', '27505']]]",ㄒㄧㄢˋ ㄌㄧㄤˋ,xiànliàng,False,
4722,4723,項鍊,進階,第5級,9.購物、商店,8,8,"[['項鍊', ['28083']]]",ㄒㄧㄤˋ ㄌㄧㄢˋ,xiàngliàn,False,
4756,4757,新進,進階,第5級,3.職業,8,4,"[['新進', ['27752']]]",ㄒㄧㄣ ㄐㄧㄣˋ,xīnjìn,False,
4986,4987,原來如此,進階,第5級,核心詞,7,6,"[['原來如此', ['44759']]]",ㄩㄢˊ ㄌㄞˊ ㄖㄨˊ ㄘˇ,yuánláirúcǐ,False,
5139,5140,之餘,進階,第5級,核心詞,23,9,[],ㄓ ㄩˊ,zhīyú,False,
5223,5224,轉帳,進階,第5級,11.公共服務,1,1,"[['轉帳', ['30984']]]",ㄓㄨㄢˇ ㄓㄤˋ,zhuǎnzhàng,False,
